date,campaign_id,channel_id,creative_id,spend,impressions,clicks
2025-01-01,CMP_101,CH_01,CR_007,2579.38,27306,2964
2025-01-01,CMP_101,CH_02,CR_007,7138.13,41403,2136
2025-01-01,CMP_101,CH_03,CR_005,1288.17,9616,1144
2025-01-01,CMP_101,CH_03,CR_006,1061.71,85754,1071
2025-01-01,CMP_101,CH_04,CR_001,810.76,6010,806
2025-01-01,CMP_101,CH_04,CR_003,1750.46,15205,1570
2025-01-01,CMP_101,CH_04,CR_005,1012.6,10325,811
2025-01-01,CMP_101,CH_05,CR_003,0.0,9040,424
2025-01-01,CMP_101,CH_05,CR_005,0.0,15566,1222
2025-01-01,CMP_101,CH_06,CR_002,0.0,6971,307
2025-01-01,CMP_101,CH_06,CR_003,0.0,29340,1665
2025-01-01,CMP_101,CH_06,CR_005,0.0,18970,1271
2025-01-01,CMP_101,CH_06,CR_006,0.0,19220,1002
2025-01-01,CMP_102,CH_01,CR_007,8185.0599999999995,115185,9102
2025-01-01,CMP_102,CH_02,CR_007,3214.36,27550,773
2025-01-01,CMP_102,CH_03,CR_001,2128.17,28091,2505
2025-01-01,CMP_102,CH_03,CR_002,1142.95,39910,1188
2025-01-01,CMP_102,CH_03,CR_005,224.26,2405,211
2025-01-01,CMP_102,CH_04,CR_001,381.32,2732,304
2025-01-01,CMP_102,CH_04,CR_002,1515.5900000000001,16988,1833
2025-01-01,CMP_102,CH_04,CR_005,1057.86,7160,905
2025-01-01,CMP_102,CH_04,CR_006,791.05,11663,850
2025-01-01,CMP_102,CH_05,CR_004,0.0,8737,774
2025-01-01,CMP_102,CH_06,CR_005,0.0,2826,122
2025-01-01,CMP_102,CH_06,CR_006,0.0,18388,1291
2025-01-01,CMP_103,CH_01,CR_007,704.62,6511,689
2025-01-01,CMP_103,CH_02,CR_007,2252.19,9894,694
2025-01-01,CMP_103,CH_03,CR_001,1307.08,187760,1973
2025-01-01,CMP_103,CH_03,CR_003,578.34,19423,503
2025-01-01,CMP_103,CH_03,CR_004,388.76,7503,389
2025-01-01,CMP_103,CH_03,CR_006,2296.59,42345,3183
2025-01-01,CMP_103,CH_04,CR_003,867.97,6849,698
2025-01-01,CMP_103,CH_04,CR_005,1930.1399999999999,61968,2456
2025-01-01,CMP_103,CH_05,CR_002,0.0,19730,1074
2025-01-01,CMP_103,CH_05,CR_004,0.0,17462,1737
2025-01-01,CMP_103,CH_05,CR_005,0.0,6655,338
2025-01-01,CMP_103,CH_06,CR_002,0.0,31139,1602
2025-01-01,CMP_103,CH_06,CR_003,0.0,17870,1174
2025-01-01,CMP_103,CH_06,CR_005,0.0,18098,708
2025-01-01,CMP_104,CH_01,CR_007,2431.4,122709,3074
2025-01-01,CMP_104,CH_02,CR_007,1871.69,20306,539
2025-01-01,CMP_104,CH_03,CR_001,579.61,36972,688
2025-01-01,CMP_104,CH_03,CR_003,710.45,33459,746
2025-01-01,CMP_104,CH_03,CR_004,836.05,25729,665
2025-01-01,CMP_104,CH_03,CR_006,169.25,1286,150
2025-01-01,CMP_104,CH_05,CR_002,0.0,15120,861
2025-01-01,CMP_104,CH_06,CR_001,0.0,1047,103
2025-01-01,CMP_104,CH_06,CR_003,0.0,40162,2500
2025-01-01,CMP_104,CH_06,CR_004,0.0,3150,198
2025-01-01,CMP_104,CH_06,CR_006,0.0,18417,1306
2025-01-01,CMP_105,CH_01,CR_007,4423.38,137298,5501
2025-01-01,CMP_105,CH_02,CR_007,955.55,4631,259
2025-01-01,CMP_105,CH_03,CR_001,2017.08,93947,2280
2025-01-01,CMP_105,CH_03,CR_002,1202.01,6913,972
2025-01-01,CMP_105,CH_03,CR_003,1276.33,8186,1190
2025-01-01,CMP_105,CH_03,CR_006,210.48,2055,186
2025-01-01,CMP_105,CH_04,CR_001,371.2,4540,318
2025-01-01,CMP_105,CH_04,CR_003,886.0,30799,1222
2025-01-01,CMP_105,CH_04,CR_004,668.66,18033,787
2025-01-01,CMP_105,CH_04,CR_006,199.27,7533,293
2025-01-01,CMP_105,CH_05,CR_002,0.0,21314,1242
2025-01-01,CMP_105,CH_05,CR_004,0.0,17526,453
2025-01-01,CMP_105,CH_05,CR_005,0.0,19204,476
2025-01-01,CMP_105,CH_05,CR_006,0.0,17269,1515
2025-01-01,CMP_105,CH_06,CR_001,0.0,17641,1670
2025-01-01,CMP_105,CH_06,CR_003,0.0,2565,233
2025-01-01,CMP_105,CH_06,CR_004,0.0,9960,836
2025-01-01,CMP_105,CH_06,CR_005,0.0,16956,529
2025-01-01,CMP_105,CH_06,CR_006,0.0,14119,503
2025-01-02,CMP_101,CH_01,CR_007,9923.49,189759,10730
2025-01-02,CMP_101,CH_02,CR_007,4991.5,27173,1307
2025-01-02,CMP_101,CH_03,CR_001,2971.04,112582,2843
2025-01-02,CMP_101,CH_03,CR_002,761.07,7764,997
2025-01-02,CMP_101,CH_03,CR_003,1121.01,15300,1591
2025-01-02,CMP_101,CH_03,CR_005,1796.3899999999999,74227,2020
2025-01-02,CMP_101,CH_03,CR_006,677.4599999999999,9393,883
2025-01-02,CMP_101,CH_04,CR_001,1068.95,8412,950
2025-01-02,CMP_101,CH_04,CR_003,1312.9,16449,1285
2025-01-02,CMP_101,CH_04,CR_005,107.12,864,96
2025-01-02,CMP_101,CH_05,CR_001,0.0,3233,146
2025-01-02,CMP_101,CH_05,CR_002,0.0,1667,151
2025-01-02,CMP_101,CH_05,CR_006,0.0,12308,339
2025-01-02,CMP_101,CH_06,CR_001,0.0,25799,1941
2025-01-02,CMP_101,CH_06,CR_003,0.0,2866,264
2025-01-02,CMP_101,CH_06,CR_005,0.0,11231,739
2025-01-02,CMP_102,CH_01,CR_007,3357.7300000000005,72017,3226
2025-01-02,CMP_102,CH_02,CR_007,721.46,2481,184
2025-01-02,CMP_102,CH_03,CR_001,1226.08,11511,1127
2025-01-02,CMP_102,CH_03,CR_002,274.35,3750,265
2025-01-02,CMP_102,CH_03,CR_004,997.77,6056,847
2025-01-02,CMP_102,CH_03,CR_005,1675.42,20861,1512
2025-01-02,CMP_102,CH_04,CR_002,1994.9,33602,2349
2025-01-02,CMP_102,CH_04,CR_005,368.58,4020,533
2025-01-02,CMP_102,CH_04,CR_006,277.84,2414,335
2025-01-02,CMP_102,CH_05,CR_002,0.0,16712,743
2025-01-02,CMP_102,CH_05,CR_005,0.0,22140,2050
2025-01-02,CMP_102,CH_05,CR_006,0.0,7092,195
2025-01-02,CMP_102,CH_06,CR_001,0.0,26767,809
2025-01-02,CMP_102,CH_06,CR_003,0.0,20924,969
2025-01-02,CMP_103,CH_01,CR_007,3210.92,37413,3053
2025-01-02,CMP_103,CH_02,CR_007,4160.610000000001,54471,1169
2025-01-02,CMP_103,CH_03,CR_001,774.2,53511,1171
2025-01-02,CMP_103,CH_03,CR_002,2395.34,34109,2187
2025-01-02,CMP_103,CH_03,CR_003,424.85,4031,602
2025-01-02,CMP_103,CH_03,CR_005,1564.19,29074,1931
2025-01-02,CMP_103,CH_03,CR_006,339.0,11144,515
2025-01-02,CMP_103,CH_04,CR_001,1460.95,36187,1225
2025-01-02,CMP_103,CH_04,CR_003,276.6,4224,254
2025-01-02,CMP_103,CH_05,CR_004,0.0,6963,455
2025-01-02,CMP_103,CH_05,CR_006,0.0,7088,625
2025-01-02,CMP_103,CH_06,CR_001,0.0,9132,537
2025-01-02,CMP_103,CH_06,CR_003,0.0,13763,562
2025-01-02,CMP_103,CH_06,CR_005,0.0,10931,621
2025-01-02,CMP_103,CH_06,CR_006,0.0,3942,389
2025-01-02,CMP_104,CH_01,CR_007,1245.02,32084,1722
2025-01-02,CMP_104,CH_02,CR_007,2671.6499999999996,27825,875
2025-01-02,CMP_104,CH_03,CR_002,1204.94,11642,1365
2025-01-02,CMP_104,CH_03,CR_005,808.6600000000001,60273,968
2025-01-02,CMP_104,CH_03,CR_006,236.22,3328,223
2025-01-02,CMP_104,CH_04,CR_001,504.07,5140,546
2025-01-02,CMP_104,CH_04,CR_002,843.83,16502,824
2025-01-02,CMP_104,CH_04,CR_003,70.7,1421,68
2025-01-02,CMP_104,CH_04,CR_005,415.71,13556,426
2025-01-02,CMP_104,CH_04,CR_006,2848.77,40585,2538
2025-01-02,CMP_104,CH_05,CR_005,0.0,2722,212
2025-01-02,CMP_104,CH_05,CR_006,0.0,11772,747
2025-01-02,CMP_104,CH_06,CR_002,0.0,19558,1147
2025-01-02,CMP_104,CH_06,CR_003,0.0,24957,1469
2025-01-02,CMP_104,CH_06,CR_004,0.0,5550,532
2025-01-02,CMP_104,CH_06,CR_006,0.0,2699,208
2025-01-02,CMP_105,CH_01,CR_007,4881.31,51173,5146
2025-01-02,CMP_105,CH_02,CR_007,3908.19,21362,1186
2025-01-02,CMP_105,CH_03,CR_001,2208.36,24514,2417
2025-01-02,CMP_105,CH_03,CR_002,855.31,17134,788
2025-01-02,CMP_105,CH_03,CR_004,811.29,57782,1270
2025-01-02,CMP_105,CH_03,CR_005,484.63,14743,588
2025-01-02,CMP_105,CH_04,CR_001,2114.87,40298,1955
2025-01-02,CMP_105,CH_04,CR_002,1556.96,15299,1721
2025-01-02,CMP_105,CH_04,CR_003,1372.83,11744,1680
2025-01-02,CMP_105,CH_04,CR_006,674.77,5171,755
2025-01-02,CMP_105,CH_05,CR_005,0.0,19616,476
2025-01-02,CMP_105,CH_05,CR_006,0.0,5231,350
2025-01-02,CMP_105,CH_06,CR_004,0.0,19142,769
2025-01-03,CMP_101,CH_01,CR_007,2596.16,30913,2551
2025-01-03,CMP_101,CH_02,CR_007,2333.08,21457,601
2025-01-03,CMP_101,CH_03,CR_001,527.87,9411,479
2025-01-03,CMP_101,CH_03,CR_002,907.63,7758,1041
2025-01-03,CMP_101,CH_03,CR_003,156.36,2055,231
2025-01-03,CMP_101,CH_03,CR_004,732.65,4898,604
2025-01-03,CMP_101,CH_03,CR_006,1139.6599999999999,17353,1086
2025-01-03,CMP_101,CH_04,CR_001,889.32,9533,1382
2025-01-03,CMP_101,CH_04,CR_002,806.53,4744,695
2025-01-03,CMP_101,CH_04,CR_003,1325.86,13663,1212
2025-01-03,CMP_101,CH_04,CR_004,822.32,26362,1006
2025-01-03,CMP_101,CH_04,CR_006,53.59,834,56
2025-01-03,CMP_101,CH_05,CR_001,0.0,6326,384
2025-01-03,CMP_101,CH_06,CR_002,0.0,27976,2326
2025-01-03,CMP_101,CH_06,CR_005,0.0,14303,698
2025-01-03,CMP_101,CH_06,CR_006,0.0,25152,1694
2025-01-03,CMP_102,CH_01,CR_007,4368.11,52353,4449
2025-01-03,CMP_102,CH_02,CR_007,7582.719999999999,72594,2252
2025-01-03,CMP_102,CH_03,CR_004,1182.02,8535,872
2025-01-03,CMP_102,CH_04,CR_002,1287.25,18857,1190
2025-01-03,CMP_102,CH_04,CR_004,1016.26,11362,1159
2025-01-03,CMP_102,CH_04,CR_005,321.47,3840,334
2025-01-03,CMP_102,CH_05,CR_002,0.0,9389,933
2025-01-03,CMP_102,CH_05,CR_003,0.0,7585,433
2025-01-03,CMP_102,CH_05,CR_004,0.0,7102,640
2025-01-03,CMP_102,CH_05,CR_006,0.0,29761,1391
2025-01-03,CMP_102,CH_06,CR_001,0.0,13723,525
2025-01-03,CMP_102,CH_06,CR_002,0.0,19317,1462
2025-01-03,CMP_103,CH_01,CR_007,3031.7799999999997,39426,3594
2025-01-03,CMP_103,CH_02,CR_007,4657.99,21658,1340
2025-01-03,CMP_103,CH_03,CR_001,971.86,30951,940
2025-01-03,CMP_103,CH_03,CR_002,1217.12,58025,1232
2025-01-03,CMP_103,CH_03,CR_006,1061.9299999999998,14106,1115
2025-01-03,CMP_103,CH_04,CR_003,1113.04,11297,1484
2025-01-03,CMP_103,CH_04,CR_004,2484.16,17456,2179
2025-01-03,CMP_103,CH_04,CR_005,1782.75,21680,2050
2025-01-03,CMP_103,CH_05,CR_002,0.0,7209,452
2025-01-03,CMP_103,CH_05,CR_004,0.0,34577,1880
2025-01-03,CMP_103,CH_05,CR_005,0.0,13482,600
2025-01-03,CMP_103,CH_06,CR_001,0.0,3352,218
2025-01-03,CMP_103,CH_06,CR_002,0.0,21703,1110
2025-01-03,CMP_103,CH_06,CR_003,0.0,8536,365
2025-01-03,CMP_103,CH_06,CR_006,0.0,6036,582
2025-01-03,CMP_104,CH_01,CR_007,6964.32,106379,7687
2025-01-03,CMP_104,CH_03,CR_001,975.04,12340,1055
2025-01-03,CMP_104,CH_03,CR_004,1002.88,6255,832
2025-01-03,CMP_104,CH_04,CR_001,26.06,340,43
2025-01-03,CMP_104,CH_04,CR_005,1533.98,15712,1238
2025-01-03,CMP_104,CH_04,CR_006,1219.36,12974,863
